Instruction,Operands,μops fused domain,μops unfused domain,µops each port,Latency,Reciprocal throughput
MOV,"r,i",1,1,p0156,,0.25
MOV,"r8/16,r8/16",1,1,p0156,1,0.25
MOV,"r32/64,r32/64",1,1,p0156,0-1,0.25
MOV,"r8l,m",1,2,p23 p0156,,0.5
MOV,"r8h,m",1,1,p23,,0.5
MOV,"r16,m",1,2,p23 p0156,,0.5
MOV,"r32/64,m",1,1,p23,2,0.5
MOV,"m,r",1,2,p237 p4,2,1
MOV,"m,i",1,2,p237 p4,,1
MOVNTI,"m,r",2,2,p23 p4,~400,1
MOVSX MOVZX,"r,r",1,1,p0156,1,0.25
MOVSXD,,,,,,
MOVSX MOVZX,"r16,m8",1,2,p23 p0156,,0.5
MOVSX MOVZX,"r,m",1,1,p23,,0.5
MOVSXD,,,,,,
CMOVcc,"r,r",1,1,p06,1,0.5
CMOVcc,"r,m",2,2,p06 p23,,0.5
XCHG,"r,r",3,3,3p0156,2,1
XCHG,"r,m",8,8,,23,
XLAT,,3,3,p23 2p0156,7,2
PUSH,r,1,2,p237 p4,3,1
PUSH,i,1,2,p237 p4,,1
PUSH,m,2,3,p4 2p237,,1
PUSH,stack pointer,2,3,p0156 p237 p4,,1
PUSHF(D/Q),,3,4,p1 p4 p237 p06,,1
PUSHA(D),,11,19,,,8
POP,r,1,1,p23,2,0.5
POP,stack pointer,3,3,p23 2p0156,,3
POP,m,2,3,2p237 p4,,1
POPF(D/Q),,9,9,,,20
POPA(D),,18,18,,,8
LAHF SAHF,,1,1,p06,1,1
SALC,,3,3,3p0156,1,1
LEA,"r16,m",2,2,p1 p05,2-4,1
LEA,"r32/64,m",1,1,p15,1,0.5
LEA,"r32/64,m",1,1,p1,3,1
LEA,"r32/64,m",1,1,p1,,1
BSWAP,r32,1,1,p15,1,0.5
BSWAP,r64,2,2,p06 p15,2,1
MOVBE,"r16,m16",3,3,2p0156 p23,,0.5-1
MOVBE,"r32,m32",2,2,p15 p23,,0.5
MOVBE,"r64,m64",3,3,2p0156 p23,,0.75
MOVBE,"m16,r16",2,3,p06 p237 p4,,1
MOVBE,"m32,r32",2,3,p15 p237 p4,,1
MOVBE,"m64,r64",3,4,p06 p15 p237 p4,,1
PREFETCHNTA/0/1/2,m,1,1,p23,,0.5
PREFETCHW,m,1,1,p23,,1
LFENCE,,2,,none counted,,4
MFENCE,,4,4,p23 p4,,33
SFENCE,,2,2,p23 p4,,6
ADD SUB,"r,r/i",1,1,p0156,1,0.25
ADD SUB,"r,m",1,2,p0156 p23,,0.5
ADD SUB,"m,r/i",2,4,2p0156 2p237 p4,5,1
ADC SBB,"r,r/i",1,1,p06,1,1
ADC SBB,"r,m",2,2,p06 p23,,1
ADC SBB,"m,r/i",4,6,3p0156 2p237 p4,5,2
CMP,"r,r/i",1,1,p0156,1,0.25
CMP,"m,r/i",1,2,p0156 p23,1,0.5
INC DEC NEG NOT,r,1,1,p0156,1,0.25
INC DEC NOT,m,3,4,p0156 2p237 p4,5-6,1
NEG,m,2,4,p0156 2p237 p4,5-6,1
AAA,,2,2,p1 p56,4,
AAS,,2,2,p1 p056,4,
DAA DAS,,3,3,p1 2p056,4,
AAD,,3,3,p1 2p056,4,
AAM,,11,11,p0 p1 p5 p6,23,7
MUL IMUL,r8,1,1,p1,3,1
MUL IMUL,r16,4,4,p1 p0156,4,2
MUL IMUL,r32,3,3,p1 p0156,4,1
MUL IMUL,r64,2,2,p1 p6,3,1
MUL IMUL,m8,1,2,p1 p23,,1
MUL IMUL,m16,4,5,p1 3p0156 p23,,2
MUL IMUL,m32,3,4,p1 2p0156 p23,,2
MUL IMUL,m64,2,3,p1 p6 p23,,1
IMUL,"r,r",1,1,p1,3,1
IMUL,"r,m",1,2,p1 p23,,1
IMUL,"r16,r16,i",2,2,p1 p0156,4,1
IMUL,"r32,r32,i",1,1,p1,3,1
IMUL,"r64,r64,i",1,1,p1,3,1
IMUL,"r16,m16,i",2,3,p1 p0156 p23,,1
IMUL,"r32,m32,i",1,2,p1 p23,,1
IMUL,"r64,m64,i",1,2,p1 p23,,1
MULX,"r32,r32,r32",3,3,p1 2p056,4,1
MULX,"r32,r32,m32",3,4,p1 2p056 p23,,1
MULX,"r64,r64,r64",2,2,p1 p5,4,1
MULX,"r64,r64,m64",2,3,p1 p6 p23,,1
DIV,r8,10,10,p0 p1 p5 p6,23,6
